project,domain,status,started,ended,successor,notes
Throughline,research,active,2026-01-01,,,formative study + baseline study + UI/pipeline dev
Vibecoding,research,active,2026-01-01,,,related-works reading; Selena collaboration
NSERC,research,active,2026-08-01,,,proposal draft; deadline 2026-09-22
CS349,teaching,active,2026-05-01,,,marking + proctoring
WVisdom,research,active,2026-01-01,,,lab meeting - not a deliverable project
Planner,personal,active,2026-08-10,,,the planner and tracker themselves; bucket work not targeted_work
Pomodoro,personal,active,2026-09-17,,,personal growth build; pomodoro timer app
Professional development,career,active,2026-09-14,,,internship + job hunt + interview practice + communication + opportunity search; targets checked against time-log
Personal development,personal,active,2026-09-14,,,books + podcasts + film/series + games + bookmarks; targets checked against growth-log
