date,start,end,minutes,tier,category,mode,bucket,source,activity,confidence,notes
2026-08-15,07:15,07:45,30,audio,audiobook,concurrent,necessities,,audiobook while doing the dishes,logged,
2026-08-15,08:33,10:33,120,self-care,self-improvement,dedicated,work,,refine planner and build the log plan,logged,
2026-08-15,10:33,12:00,87,self-care,self-improvement,dedicated,slack,,keep building the planner,logged,slack in the time log and still growth here - both true
2026-08-15,12:45,13:00,15,self-care,self-improvement,dedicated,work,,parking lot and clickable viz spec,logged,
